DATE,PRICE
1/1/67,31.1
2/1/67,30.7
3/1/67,30.4
4/1/67,30.4
5/1/67,30.8
6/1/67,32.1
7/1/67,32.5
8/1/67,33.2
9/1/67,33.9
10/1/67,33.9
11/1/67,33.7
12/1/67,33.9
1/1/68,34
2/1/68,34.2
3/1/68,34.6
4/1/68,35.3
5/1/68,36.1
6/1/68,37.1
7/1/68,38.3
8/1/68,39.2
9/1/68,39.6
10/1/68,40.6
11/1/68,41.5
12/1/68,43.2
1/1/69,44.3
2/1/69,45.7
3/1/69,47.4
4/1/69,47.3
5/1/69,45
6/1/69,42.2
7/1/69,39.8
8/1/69,39.3
9/1/69,38.8
10/1/69,38.8
11/1/69,39.4
12/1/69,39
1/1/70,38.3
2/1/70,36.7
3/1/70,35.6
4/1/70,35.5
5/1/70,35.8
6/1/70,36.3
7/1/70,36.1
8/1/70,36.6
9/1/70,36.9
10/1/70,37.3
11/1/70,37.1
12/1/70,36.8
1/1/71,37.2
2/1/71,38.8
3/1/71,40.7
4/1/71,41.3
5/1/71,41.5
6/1/71,42.8
7/1/71,45.7
8/1/71,47.3
9/1/71,47.4
10/1/71,46.9
11/1/71,47.3
12/1/71,48.1
1/1/72,49.2
2/1/72,49.1
3/1/72,48.5
4/1/72,48.6
5/1/72,48.7
6/1/72,49.8
7/1/72,51.1
8/1/72,52.1
9/1/72,52.7
10/1/72,54.3
11/1/72,55.8
12/1/72,56.3
1/1/73,56.3
2/1/73,59.3
3/1/73,62.3
4/1/73,64.9
5/1/73,67.2
6/1/73,67.2
7/1/73,66.3
8/1/73,66.9
9/1/73,69.3
10/1/73,70.2
11/1/73,70.9
12/1/73,71.9
1/1/74,71
2/1/74,69
3/1/74,70.5
4/1/74,72.1
5/1/74,70.5
6/1/74,68.7
7/1/74,67.9
8/1/74,66
9/1/74,64
10/1/74,60.1
11/1/74,60
12/1/74,59.1
1/1/75,58.4
2/1/75,58.6
3/1/75,58
4/1/75,59.1
5/1/75,62.5
6/1/75,62.3
7/1/75,62.8
8/1/75,63.3
9/1/75,63.1
10/1/75,64
11/1/75,64.9
12/1/75,66.5
1/1/76,68.8
2/1/76,70.7
3/1/76,73.5
4/1/76,72.3
5/1/76,71.9
6/1/76,70.9
7/1/76,74.2
8/1/76,75.5
9/1/76,78
10/1/76,79.6
11/1/76,81.5
12/1/76,83
1/1/77,83.7
2/1/77,83.1
3/1/77,84.8
4/1/77,84.9
5/1/77,85.9
6/1/77,85.9
7/1/77,89.1
8/1/77,91.3
9/1/77,95.6
10/1/77,94
11/1/77,93.8
12/1/77,94.7
1/1/78,97
2/1/78,99.1
3/1/78,99.7
4/1/78,100.9
5/1/78,102.2
6/1/78,104.6
7/1/78,103.4
8/1/78,104.2
9/1/78,105
10/1/78,107.1
11/1/78,111.7
12/1/78,109.4
1/1/79,109.3
2/1/79,109.8
3/1/79,112.7
4/1/79,113.7
5/1/79,114.3
6/1/79,115
7/1/79,113.9
8/1/79,116
9/1/79,118
10/1/79,119.4
11/1/79,116
12/1/79,110.1
1/1/80,109.5
2/1/80,110.8
3/1/80,109.9
4/1/80,99.2
5/1/80,96.7
6/1/80,100.1
7/1/80,104
8/1/80,105.5
9/1/80,104.2
10/1/80,104.3
11/1/80,106.3
12/1/80,108.9
1/1/81,108
2/1/81,106.2
3/1/81,105.4
4/1/81,106.6
5/1/81,107.5
6/1/81,106.7
7/1/81,104.5
8/1/81,104.5
9/1/81,102.5
10/1/81,102.5
11/1/81,101
12/1/81,101.3
1/1/82,100.8
2/1/82,99.2
3/1/82,99.2
4/1/82,99.5
5/1/82,98.7
6/1/82,99.6
7/1/82,99.8
8/1/82,98.8
9/1/82,100
10/1/82,101.2
11/1/82,101.4
12/1/82,102.7
1/1/83,106.3
2/1/83,110.6
3/1/83,111.7
4/1/83,112
5/1/83,113.5
6/1/83,117.3
7/1/83,116.8
