DATE,PRICE
1/1/47,47.9
2/1/47,48.2
3/1/47,48.2
4/1/47,48.6
5/1/47,48.7
6/1/47,48.7
7/1/47,45.7
8/1/47,45.7
9/1/47,45.7
10/1/47,45.7
11/1/47,45.8
12/1/47,46.9
1/1/48,51.8
2/1/48,51.8
3/1/48,52.1
4/1/48,52.2
5/1/48,53
6/1/48,53.9
7/1/48,54.6
8/1/48,54.8
9/1/48,54.8
10/1/48,54.8
11/1/48,54.8
12/1/48,54.3
1/1/49,49.6
2/1/49,49
3/1/49,49
4/1/49,48.7
5/1/49,47
6/1/49,45.1
7/1/49,44.5
8/1/49,45.2
9/1/49,45
10/1/49,45.5
11/1/49,46.1
12/1/49,47
1/1/50,48.3
2/1/50,49.2
3/1/50,49.5
4/1/50,49.5
5/1/50,49.6
6/1/50,50
7/1/50,51.1
8/1/50,54.3
9/1/50,56
10/1/50,56.7
11/1/50,56.7
12/1/50,57.4
1/1/51,57.7
2/1/51,57.9
3/1/51,57.9
4/1/51,57.9
5/1/51,57.9
6/1/51,57.9
7/1/51,57.5
8/1/51,57.5
9/1/51,56.5
10/1/51,56.2
11/1/51,53.8
12/1/51,50.5
1/1/52,51.2
2/1/52,51.5
3/1/52,51.9
4/1/52,51.9
5/1/52,51.9
6/1/52,52
7/1/52,52
8/1/52,52.1
9/1/52,52.1
10/1/52,52.2
11/1/52,50.3
12/1/52,50.3
1/1/53,53.4
2/1/53,54.5
3/1/53,55.1
4/1/53,55.1
5/1/53,55.3
6/1/53,55.3
7/1/53,55.4
8/1/53,55.3
9/1/53,52.5
10/1/53,51.5
11/1/53,50.7
12/1/53,51.1
1/1/54,50.9
2/1/54,51.6
3/1/54,50.6
4/1/54,49.5
5/1/54,49.8
6/1/54,49
7/1/54,50.7
8/1/54,51.8
9/1/54,50.7
10/1/54,51.3
11/1/54,51.3
12/1/54,51.3
1/1/55,51.5
2/1/55,51.5
3/1/55,51.5
4/1/55,51.5
5/1/55,51.9
6/1/55,51.9
7/1/55,52
8/1/55,52
9/1/55,52.2
10/1/55,52.2
11/1/55,52.1
12/1/55,52
1/1/56,52.8
2/1/56,52.8
3/1/56,52.8
4/1/56,52.6
5/1/56,50.5
6/1/56,49.6
7/1/56,50.8
8/1/56,48.8
9/1/56,48.8
10/1/56,47.2
11/1/56,46.6
12/1/56,46.5
1/1/57,47.7
2/1/57,47.4
3/1/57,47.3
4/1/57,47.5
5/1/57,47.6
6/1/57,48
7/1/57,47.6
8/1/57,46.8
9/1/57,46.6
10/1/57,47.6
11/1/57,47.4
12/1/57,47
1/1/58,47
2/1/58,46
3/1/58,45.7
4/1/58,46.4
5/1/58,45.4
6/1/58,46.7
7/1/58,48.3
8/1/58,49.2
9/1/58,50.1
10/1/58,50.5
11/1/58,49.2
12/1/58,48.7
1/1/59,49
2/1/59,51
3/1/59,51.1
4/1/59,52.4
5/1/59,52.4
6/1/59,51.7
7/1/59,50.3
8/1/59,49.6
9/1/59,47.5
10/1/59,47.4
11/1/59,46.4
12/1/59,47.8
1/1/60,48.3
2/1/60,47.7
3/1/60,47.1
4/1/60,47.2
5/1/60,47
6/1/60,47
7/1/60,47
8/1/60,46.6
9/1/60,47.4
10/1/60,47.7
11/1/60,47.2
12/1/60,46.7
1/1/61,45.1
2/1/61,44.6
3/1/61,45.2
4/1/61,48.7
5/1/61,47.8
6/1/61,47.8
7/1/61,47.8
8/1/61,46.8
9/1/61,46.1
10/1/61,44.7
11/1/61,45
12/1/61,44.8
1/1/62,44.5
2/1/62,44.8
3/1/62,45.5
4/1/62,45.5
5/1/62,44.5
6/1/62,44.8
7/1/62,44.6
8/1/62,44.5
9/1/62,44.5
10/1/62,44.4
11/1/62,44.2
12/1/62,43.6
1/1/63,43.7
2/1/63,43.7
3/1/63,44
4/1/63,43.9
5/1/63,43.9
6/1/63,44.7
7/1/63,48.7
8/1/63,50.3
9/1/63,44.7
10/1/63,44.6
11/1/63,44.7
12/1/63,44.6
1/1/64,44
2/1/64,44.5
3/1/64,45.7
4/1/64,45.8
5/1/64,45.5
6/1/64,44.7
7/1/64,44.6
8/1/64,44.3
9/1/64,44.3
10/1/64,44
11/1/64,43.8
12/1/64,43.6
1/1/65,45.6
2/1/65,44.9
3/1/65,44.5
4/1/65,44.4
5/1/65,44.1
6/1/65,43.7
7/1/65,43.9
8/1/65,45.7
9/1/65,45.1
10/1/65,44.2
11/1/65,44.3
